cci_threshold,w3_cutoff,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n
0.5,0.0,90,0,6,178,256,440
0.5,0.25,50,170,0,99,171,440
0.5,0.25,75,25,6,314,95,440
0.5,0.25,90,0,6,306,128,440
0.5,0.5,50,170,0,99,171,440
0.5,0.5,75,25,6,314,95,440
0.5,0.5,90,0,6,306,128,440
0.5,0.75,50,170,0,99,171,440
0.5,0.75,75,25,6,314,95,440
0.5,0.75,90,0,6,306,128,440
0.5,1.0,50,170,0,47,223,440
0.5,1.0,75,25,0,299,116,440
0.5,1.0,90,0,0,298,142,440
0.55,0.0,50,0,0,99,341,440
0.55,0.0,75,0,6,186,248,440
0.55,0.0,90,0,6,178,256,440
0.55,0.25,50,170,0,99,171,440
0.55,0.25,75,25,6,314,95,440
0.55,0.25,90,0,6,306,128,440
0.55,0.5,50,170,0,99,171,440
0.55,0.5,75,25,6,314,95,440
0.55,0.5,90,0,6,306,128,440
0.55,0.75,50,170,0,99,171,440
0.55,0.75,75,25,6,314,95,440
0.55,0.75,90,0,6,306,128,440
0.55,1.0,50,170,0,47,223,440
0.55,1.0,75,25,0,299,116,440
0.55,1.0,90,0,0,298,142,440
0.6,0.0,50,0,0,99,341,440
0.6,0.0,75,0,6,186,248,440
0.6,0.0,90,0,6,178,256,440
0.6,0.25,50,170,0,99,171,440
0.6,0.25,75,25,6,314,95,440
0.6,0.25,90,0,6,306,128,440
0.6,0.5,50,170,0,99,171,440
0.6,0.5,75,25,6,314,95,440
0.6,0.5,90,0,6,306,128,440
0.6,0.75,50,170,0,99,171,440
0.6,0.75,75,25,6,314,95,440
0.6,0.75,90,0,6,306,128,440
0.6,1.0,50,170,0,47,223,440
0.6,1.0,75,25,0,299,116,440
0.6,1.0,90,0,0,298,142,440
0.65,0.0,50,0,0,99,341,440
0.65,0.0,75,0,6,186,248,440
0.65,0.0,90,0,6,178,256,440
0.65,0.25,50,170,0,99,171,440
0.65,0.25,75,25,6,314,95,440
0.65,0.25,90,0,6,306,128,440
0.65,0.5,50,170,0,99,171,440
0.65,0.5,75,25,6,314,95,440
0.65,0.5,90,0,6,306,128,440
0.65,0.75,50,170,0,99,171,440
0.65,0.75,75,25,6,314,95,440
0.65,0.75,90,0,6,306,128,440
0.65,1.0,50,170,0,47,223,440
0.65,1.0,75,25,0,299,116,440
0.65,1.0,90,0,0,298,142,440
0.7,0.0,50,0,0,62,378,440
0.7,0.0,75,0,1,86,353,440
0.7,0.0,90,0,1,78,361,440
0.7,0.25,50,74,0,62,304,440
0.7,0.25,75,15,1,300,124,440
0.7,0.25,90,0,1,292,147,440
0.7,0.5,50,74,0,62,304,440
0.7,0.5,75,15,1,300,124,440
0.7,0.5,90,0,1,292,147,440
0.7,0.75,50,74,0,62,304,440
0.7,0.75,75,15,1,300,124,440
0.7,0.75,90,0,1,292,147,440
0.7,1.0,50,74,0,4,362,440
0.7,1.0,75,15,0,284,141,440
0.7,1.0,90,0,0,284,156,440
0.75,0.0,50,0,0,62,378,440
0.75,0.0,75,0,1,86,353,440
0.75,0.0,90,0,1,78,361,440
0.75,0.25,50,74,0,62,304,440
0.75,0.25,75,15,1,300,124,440
0.75,0.25,90,0,1,292,147,440
0.75,0.5,50,74,0,62,304,440
0.75,0.5,75,15,1,300,124,440
0.75,0.5,90,0,1,292,147,440
0.75,0.75,50,74,0,62,304,440
0.75,0.75,75,15,1,300,124,440
0.75,0.75,90,0,1,292,147,440
0.75,1.0,50,74,0,4,362,440
0.75,1.0,75,15,0,284,141,440
0.75,1.0,90,0,0,284,156,440
0.8,0.0,50,0,0,62,378,440
0.8,0.0,75,0,1,86,353,440
0.8,0.0,90,0,1,78,361,440
0.8,0.25,50,74,0,62,304,440
0.8,0.25,75,15,1,300,124,440
0.8,0.25,90,0,1,292,147,440
0.8,0.5,50,74,0,62,304,440
0.8,0.5,75,15,1,300,124,440
0.8,0.5,90,0,1,292,147,440
0.8,0.75,50,74,0,62,304,440
0.8,0.75,75,15,1,300,124,440
0.8,0.75,90,0,1,292,147,440
0.8,1.0,50,74,0,4,362,440
0.8,1.0,75,15,0,284,141,440
0.8,1.0,90,0,0,284,156,440
0.85,0.0,50,0,0,62,378,440
0.85,0.0,75,0,1,86,353,440
0.85,0.0,90,0,1,78,361,440
0.85,0.25,50,74,0,62,304,440
0.85,0.25,75,15,1,300,124,440
0.85,0.25,90,0,1,292,147,440
0.85,0.5,50,74,0,62,304,440
0.85,0.5,75,15,1,300,124,440
0.85,0.5,90,0,1,292,147,440
0.85,0.75,50,74,0,62,304,440
0.85,0.75,75,15,1,300,124,440
0.85,0.75,90,0,1,292,147,440
0.85,1.0,50,74,0,4,362,440
