analysis,grain,subtype,instance_type,model,n_problems,mean_VAR_canonical,mean_template_contamination,mean_ACI,problem_id,problem_subtype,VAR_canonical,template_contamination_score,ACI,scope,contam_quartile,n_rows,mean_cci,mean_correctness,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_p_value,Q1_mean,Q4_mean,contamination_score,n_points,spearman_rho,spearman_p_value,interpretation,mean_VAR_W3,VAR_W3
1_algo_within_family_gradient,summary,CC,adversarial,anthropic/claude-sonnet-4,10.0,0.7,1.0,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,CC,adversarial,meta-llama/llama-3.1-8b-instruct,10.0,0.2,1.0,0.19999999999999998,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,CC,adversarial,openai/gpt-4o,10.0,0.6,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,CC,standard,anthropic/claude-sonnet-4,15.0,0.26666666666666666,0.11280666666666665,,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,CC,standard,meta-llama/llama-3.1-8b-instruct,15.0,0.0,0.11280666666666665,,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,CC,standard,openai/gpt-4o,15.0,0.26666666666666666,0.11280666666666665,,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,SP,adversarial,anthropic/claude-sonnet-4,34.0,0.6470588235294118,0.13952352941176469,0.38235294117647056,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,SP,adversarial,meta-llama/llama-3.1-8b-instruct,34.0,0.058823529411764705,0.13952352941176469,0.22549019607843135,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,SP,adversarial,openai/gpt-4o,34.0,0.4117647058823529,0.13952352941176469,0.24509803921568624,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,SP,standard,anthropic/claude-sonnet-4,21.0,0.0,0.15884761904761904,,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,SP,standard,meta-llama/llama-3.1-8b-instruct,21.0,0.047619047619047616,0.15884761904761904,,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,SP,standard,openai/gpt-4o,21.0,0.7142857142857143,0.15884761904761904,,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,WIS,adversarial,anthropic/claude-sonnet-4,17.0,0.35294117647058826,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,WIS,adversarial,meta-llama/llama-3.1-8b-instruct,17.0,0.058823529411764705,0.0,0.41176470588235287,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,WIS,adversarial,openai/gpt-4o,17.0,0.35294117647058826,0.0,0.2941176470588235,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,WIS,standard,anthropic/claude-sonnet-4,13.0,0.07692307692307693,0.0,,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,WIS,standard,meta-llama/llama-3.1-8b-instruct,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,summary,WIS,standard,openai/gpt-4o,13.0,0.15384615384615385,0.0,,,,,,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,anthropic/claude-sonnet-4,,,,,CC_01,coin_change,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,anthropic/claude-sonnet-4,,,,,CC_02,coin_change,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,anthropic/claude-sonnet-4,,,,,CC_03,coin_change,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,anthropic/claude-sonnet-4,,,,,CC_04,coin_change,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,anthropic/claude-sonnet-4,,,,,CC_05,coin_change,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,anthropic/claude-sonnet-4,,,,,CC_06,coin_change,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,anthropic/claude-sonnet-4,,,,,CC_07,coin_change,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,anthropic/claude-sonnet-4,,,,,CC_08,coin_change,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,anthropic/claude-sonnet-4,,,,,CC_09,coin_change,0.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,anthropic/claude-sonnet-4,,,,,CC_10,coin_change,0.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_001,shortest_path,0.0,1.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_002,shortest_path,0.0,1.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_003,shortest_path,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_004,shortest_path,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_005,shortest_path,0.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_001,wis,1.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_002,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_003,wis,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_004,wis,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_005,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_031,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_032,coin_change,0.0,0.1077,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_033,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_034,coin_change,1.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_035,coin_change,1.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_036,coin_change,1.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_037,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_038,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_039,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_040,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_041,coin_change,1.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_042,coin_change,0.0,0.127,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_043,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_044,coin_change,0.0,0.127,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,anthropic/claude-sonnet-4,,,,,CC_045,coin_change,0.0,0.127,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_019,shortest_path,1.0,0.0538,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_020,shortest_path,1.0,0.069,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_021,shortest_path,0.0,0.0506,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_023,shortest_path,0.0,0.0732,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_024,shortest_path,1.0,0.0464,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_026,shortest_path,1.0,0.0545,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_027,shortest_path,1.0,0.0538,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_028,shortest_path,0.0,0.0625,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_029,shortest_path,1.0,0.0625,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_030,shortest_path,0.0,0.0625,1.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_031,shortest_path,0.0,0.069,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_032,shortest_path,0.0,0.0642,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_033,shortest_path,0.0,0.0642,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_034,shortest_path,0.0,0.0642,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_035,shortest_path,0.0,0.0882,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_036,shortest_path,0.0,0.0642,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_037,shortest_path,1.0,0.0538,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_038,shortest_path,0.0,0.0506,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_039,shortest_path,0.0,0.0506,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_040,shortest_path,1.0,0.0625,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_042,shortest_path,0.0,0.0545,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_044,shortest_path,1.0,0.0584,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_045,shortest_path,1.0,0.0538,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_046,shortest_path,1.0,0.0625,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_047,shortest_path,1.0,0.0538,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_048,shortest_path,1.0,0.0625,1.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_049,shortest_path,0.0,0.069,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_050,shortest_path,0.0,0.0642,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_051,shortest_path,0.0,0.0642,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_052,shortest_path,0.0,0.069,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_053,shortest_path,0.0,0.0842,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_054,shortest_path,0.0,0.0642,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_055,shortest_path,0.0,0.0882,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_056,shortest_path,0.0,0.0642,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_057,shortest_path,0.0,0.0882,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_058,shortest_path,0.0,0.0642,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_059,shortest_path,0.0,0.069,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_060,shortest_path,0.0,0.069,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,anthropic/claude-sonnet-4,,,,,SP_061,shortest_path,0.0,0.0642,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_062,shortest_path,1.0,0.0538,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_063,shortest_path,0.0,0.0506,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_064,shortest_path,1.0,0.0538,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_065,shortest_path,1.0,0.0538,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_066,shortest_path,0.0,0.0584,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_068,shortest_path,1.0,0.0545,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_069,shortest_path,1.0,0.0464,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_070,shortest_path,1.0,0.0538,1.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_071,shortest_path,1.0,0.0506,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_072,shortest_path,1.0,0.0538,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,anthropic/claude-sonnet-4,,,,,SP_073,shortest_path,0.0,0.0625,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_006,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_007,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_009,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_010,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_012,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_013,wis,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_014,wis,1.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_015,wis,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_016,wis,1.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_017,wis,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_018,wis,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_019,wis,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_020,wis,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_021,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_022,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_023,wis,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_024,wis,1.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_025,wis,1.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_026,wis,1.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_027,wis,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_028,wis,1.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,anthropic/claude-sonnet-4,,,,,WIS_029,wis,0.0,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_030,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_031,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,anthropic/claude-sonnet-4,,,,,WIS_032,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,openai/gpt-4o,,,,,CC_01,coin_change,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,openai/gpt-4o,,,,,CC_02,coin_change,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,openai/gpt-4o,,,,,CC_03,coin_change,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,openai/gpt-4o,,,,,CC_04,coin_change,0.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,openai/gpt-4o,,,,,CC_05,coin_change,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,openai/gpt-4o,,,,,CC_06,coin_change,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,openai/gpt-4o,,,,,CC_07,coin_change,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,openai/gpt-4o,,,,,CC_08,coin_change,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,openai/gpt-4o,,,,,CC_09,coin_change,0.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,adversarial,openai/gpt-4o,,,,,CC_10,coin_change,0.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,openai/gpt-4o,,,,,SP_001,shortest_path,0.0,1.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,standard,openai/gpt-4o,,,,,SP_002,shortest_path,0.0,1.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,openai/gpt-4o,,,,,SP_003,shortest_path,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,openai/gpt-4o,,,,,SP_004,shortest_path,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,SP,adversarial,openai/gpt-4o,,,,,SP_005,shortest_path,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,openai/gpt-4o,,,,,WIS_001,wis,1.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,openai/gpt-4o,,,,,WIS_002,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,openai/gpt-4o,,,,,WIS_003,wis,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,adversarial,openai/gpt-4o,,,,,WIS_004,wis,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,WIS,standard,openai/gpt-4o,,,,,WIS_005,wis,0.0,0.0,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_031,coin_change,1.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_032,coin_change,0.0,0.1077,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_033,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_034,coin_change,1.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_035,coin_change,1.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_036,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_037,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_038,coin_change,1.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_039,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_040,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_041,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_042,coin_change,0.0,0.127,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_043,coin_change,0.0,0.1094,,,,,,,,,,,,,,,,,,
1_algo_within_family_gradient,per_problem_model,CC,standard,openai/gpt-4o,,,,,CC_044,coin_change,0.0,0.127,,,,,,,,,,,,,,,,,,
