cci_threshold,w3_cutoff,w3_regime,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n,label_vector_id
0.2,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,15,146,271,440,1455482896
0.2,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,17,152,271,440,3613668096
0.2,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,17,152,271,440,3613668096
0.2,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,15,146,271,440,1455482896
0.2,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,17,152,271,440,3613668096
0.2,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,17,152,271,440,3613668096
0.2,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.2,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.2,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.25,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,15,154,271,440,2232114024
0.25,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,17,152,271,440,3613668096
0.25,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,17,152,271,440,3613668096
0.25,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,15,146,271,440,1455482896
0.25,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,17,152,271,440,3613668096
0.25,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,17,152,271,440,3613668096
0.25,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,15,146,271,440,1455482896
0.25,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,17,152,271,440,3613668096
0.25,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,17,152,271,440,3613668096
